pdb_file,hydrophobicity_contacts
relaxed_2wmp_model_505_corrected_H_0001_2wmp,63
relaxed_2wmp_model_506_corrected_H_0001_2wmp,67
relaxed_2wmp_model_507_corrected_H_0001_2wmp,48
relaxed_2wmp_model_508_corrected_H_0001_2wmp,58
relaxed_2wmp_model_509_corrected_H_0001_2wmp,56
relaxed_2wmp_model_51_corrected_H_0001_2wmp,18
relaxed_2wmp_model_510_corrected_H_0001_2wmp,53
relaxed_2wmp_model_511_corrected_H_0001_2wmp,52
relaxed_2wmp_model_512_corrected_H_0001_2wmp,69
relaxed_2wmp_model_513_corrected_H_0001_2wmp,61
relaxed_2wmp_model_514_corrected_H_0001_2wmp,51
relaxed_2wmp_model_515_corrected_H_0001_2wmp,51
