pdb_file,hydrophobicity_contacts
relaxed_3ona_model_395_corrected_H_0001_3ona,12
relaxed_3ona_model_396_corrected_H_0001_3ona,20
relaxed_3ona_model_397_corrected_H_0001_3ona,22
relaxed_3ona_model_398_corrected_H_0001_3ona,30
relaxed_3ona_model_399_corrected_H_0001_3ona,23
relaxed_3ona_model_4_corrected_H_0001_3ona,16
relaxed_3ona_model_40_corrected_H_0001_3ona,12
relaxed_3ona_model_400_corrected_H_0001_3ona,15
relaxed_3ona_model_401_corrected_H_0001_3ona,13
relaxed_3ona_model_402_corrected_H_0001_3ona,17
relaxed_3ona_model_403_corrected_H_0001_3ona,19
relaxed_3ona_model_404_corrected_H_0001_3ona,20
relaxed_3ona_model_405_corrected_H_0001_3ona,19
relaxed_3ona_model_406_corrected_H_0001_3ona,35
relaxed_3ona_model_407_corrected_H_0001_3ona,29
relaxed_3ona_model_408_corrected_H_0001_3ona,18
relaxed_3ona_model_409_corrected_H_0001_3ona,17
relaxed_3ona_model_41_corrected_H_0001_3ona,16
relaxed_3ona_model_410_corrected_H_0001_3ona,26
relaxed_3ona_model_411_corrected_H_0001_3ona,26
relaxed_3ona_model_412_corrected_H_0001_3ona,17
relaxed_3ona_model_413_corrected_H_0001_3ona,23
relaxed_3ona_model_414_corrected_H_0001_3ona,22
relaxed_3ona_model_415_corrected_H_0001_3ona,26
relaxed_3ona_model_416_corrected_H_0001_3ona,25
relaxed_3ona_model_417_corrected_H_0001_3ona,29
relaxed_3ona_model_418_corrected_H_0001_3ona,28
relaxed_3ona_model_419_corrected_H_0001_3ona,17
relaxed_3ona_model_42_corrected_H_0001_3ona,30
relaxed_3ona_model_420_corrected_H_0001_3ona,24
relaxed_3ona_model_421_corrected_H_0001_3ona,18
relaxed_3ona_model_422_corrected_H_0001_3ona,29
relaxed_3ona_model_423_corrected_H_0001_3ona,23
relaxed_3ona_model_424_corrected_H_0001_3ona,16
relaxed_3ona_model_425_corrected_H_0001_3ona,35
relaxed_3ona_model_426_corrected_H_0001_3ona,17
relaxed_3ona_model_427_corrected_H_0001_3ona,24
relaxed_3ona_model_428_corrected_H_0001_3ona,25
relaxed_3ona_model_429_corrected_H_0001_3ona,21
relaxed_3ona_model_43_corrected_H_0001_3ona,27
relaxed_3ona_model_430_corrected_H_0001_3ona,19
relaxed_3ona_model_431_corrected_H_0001_3ona,18
relaxed_3ona_model_432_corrected_H_0001_3ona,25
relaxed_3ona_model_433_corrected_H_0001_3ona,27
relaxed_3ona_model_434_corrected_H_0001_3ona,17
relaxed_3ona_model_435_corrected_H_0001_3ona,28
relaxed_3ona_model_436_corrected_H_0001_3ona,16
relaxed_3ona_model_437_corrected_H_0001_3ona,17
relaxed_3ona_model_438_corrected_H_0001_3ona,19
relaxed_3ona_model_439_corrected_H_0001_3ona,18
relaxed_3ona_model_44_corrected_H_0001_3ona,26
relaxed_3ona_model_440_corrected_H_0001_3ona,26
relaxed_3ona_model_441_corrected_H_0001_3ona,32
relaxed_3ona_model_442_corrected_H_0001_3ona,13
relaxed_3ona_model_443_corrected_H_0001_3ona,13
relaxed_3ona_model_444_corrected_H_0001_3ona,22
relaxed_3ona_model_445_corrected_H_0001_3ona,20
relaxed_3ona_model_446_corrected_H_0001_3ona,28
relaxed_3ona_model_447_corrected_H_0001_3ona,18
relaxed_3ona_model_448_corrected_H_0001_3ona,16
relaxed_3ona_model_449_corrected_H_0001_3ona,20
relaxed_3ona_model_45_corrected_H_0001_3ona,20
relaxed_3ona_model_450_corrected_H_0001_3ona,13
relaxed_3ona_model_451_corrected_H_0001_3ona,20
relaxed_3ona_model_452_corrected_H_0001_3ona,18
relaxed_3ona_model_453_corrected_H_0001_3ona,22
relaxed_3ona_model_454_corrected_H_0001_3ona,25
relaxed_3ona_model_455_corrected_H_0001_3ona,23
relaxed_3ona_model_456_corrected_H_0001_3ona,17
relaxed_3ona_model_457_corrected_H_0001_3ona,17
relaxed_3ona_model_458_corrected_H_0001_3ona,17
relaxed_3ona_model_459_corrected_H_0001_3ona,28
relaxed_3ona_model_46_corrected_H_0001_3ona,13
relaxed_3ona_model_460_corrected_H_0001_3ona,16
relaxed_3ona_model_461_corrected_H_0001_3ona,23
relaxed_3ona_model_462_corrected_H_0001_3ona,20
relaxed_3ona_model_463_corrected_H_0001_3ona,18
relaxed_3ona_model_464_corrected_H_0001_3ona,16
relaxed_3ona_model_465_corrected_H_0001_3ona,12
relaxed_3ona_model_466_corrected_H_0001_3ona,17
relaxed_3ona_model_467_corrected_H_0001_3ona,22
relaxed_3ona_model_468_corrected_H_0001_3ona,34
relaxed_3ona_model_469_corrected_H_0001_3ona,27
relaxed_3ona_model_47_corrected_H_0001_3ona,20
relaxed_3ona_model_470_corrected_H_0001_3ona,24
relaxed_3ona_model_471_corrected_H_0001_3ona,20
relaxed_3ona_model_472_corrected_H_0001_3ona,19
relaxed_3ona_model_473_corrected_H_0001_3ona,20
relaxed_3ona_model_474_corrected_H_0001_3ona,14
relaxed_3ona_model_475_corrected_H_0001_3ona,26
relaxed_3ona_model_476_corrected_H_0001_3ona,24
relaxed_3ona_model_477_corrected_H_0001_3ona,21
relaxed_3ona_model_478_corrected_H_0001_3ona,19
relaxed_3ona_model_479_corrected_H_0001_3ona,28
relaxed_3ona_model_48_corrected_H_0001_3ona,17
relaxed_3ona_model_480_corrected_H_0001_3ona,19
relaxed_3ona_model_481_corrected_H_0001_3ona,27
relaxed_3ona_model_482_corrected_H_0001_3ona,26
relaxed_3ona_model_483_corrected_H_0001_3ona,16
relaxed_3ona_model_484_corrected_H_0001_3ona,21
relaxed_3ona_model_485_corrected_H_0001_3ona,16
relaxed_3ona_model_486_corrected_H_0001_3ona,32
relaxed_3ona_model_487_corrected_H_0001_3ona,15
relaxed_3ona_model_488_corrected_H_0001_3ona,19
relaxed_3ona_model_489_corrected_H_0001_3ona,29
relaxed_3ona_model_49_corrected_H_0001_3ona,17
relaxed_3ona_model_490_corrected_H_0001_3ona,24
relaxed_3ona_model_491_corrected_H_0001_3ona,28
relaxed_3ona_model_492_corrected_H_0001_3ona,20
relaxed_3ona_model_493_corrected_H_0001_3ona,21
relaxed_3ona_model_494_corrected_H_0001_3ona,35
relaxed_3ona_model_495_corrected_H_0001_3ona,14
relaxed_3ona_model_496_corrected_H_0001_3ona,34
relaxed_3ona_model_497_corrected_H_0001_3ona,24
relaxed_3ona_model_498_corrected_H_0001_3ona,31
relaxed_3ona_model_499_corrected_H_0001_3ona,14
relaxed_3ona_model_5_corrected_H_0001_3ona,17
relaxed_3ona_model_50_corrected_H_0001_3ona,15
relaxed_3ona_model_500_corrected_H_0001_3ona,18
relaxed_3ona_model_501_corrected_H_0001_3ona,21
relaxed_3ona_model_502_corrected_H_0001_3ona,33
relaxed_3ona_model_503_corrected_H_0001_3ona,21
relaxed_3ona_model_504_corrected_H_0001_3ona,16
relaxed_3ona_model_505_corrected_H_0001_3ona,19
relaxed_3ona_model_506_corrected_H_0001_3ona,18
relaxed_3ona_model_507_corrected_H_0001_3ona,21
relaxed_3ona_model_508_corrected_H_0001_3ona,25
relaxed_3ona_model_509_corrected_H_0001_3ona,23
relaxed_3ona_model_51_corrected_H_0001_3ona,32
relaxed_3ona_model_510_corrected_H_0001_3ona,31
relaxed_3ona_model_511_corrected_H_0001_3ona,20
relaxed_3ona_model_512_corrected_H_0001_3ona,13
relaxed_3ona_model_513_corrected_H_0001_3ona,19
relaxed_3ona_model_514_corrected_H_0001_3ona,20
relaxed_3ona_model_515_corrected_H_0001_3ona,17
relaxed_3ona_model_516_corrected_H_0001_3ona,21
relaxed_3ona_model_517_corrected_H_0001_3ona,15
relaxed_3ona_model_518_corrected_H_0001_3ona,20
relaxed_3ona_model_519_corrected_H_0001_3ona,23
relaxed_3ona_model_52_corrected_H_0001_3ona,29
relaxed_3ona_model_520_corrected_H_0001_3ona,24
relaxed_3ona_model_521_corrected_H_0001_3ona,15
relaxed_3ona_model_522_corrected_H_0001_3ona,27
relaxed_3ona_model_523_corrected_H_0001_3ona,15
relaxed_3ona_model_524_corrected_H_0001_3ona,30
relaxed_3ona_model_525_corrected_H_0001_3ona,29
relaxed_3ona_model_526_corrected_H_0001_3ona,21
relaxed_3ona_model_527_corrected_H_0001_3ona,17
relaxed_3ona_model_528_corrected_H_0001_3ona,30
relaxed_3ona_model_529_corrected_H_0001_3ona,24
relaxed_3ona_model_53_corrected_H_0001_3ona,15
relaxed_3ona_model_530_corrected_H_0001_3ona,21
relaxed_3ona_model_531_corrected_H_0001_3ona,22
relaxed_3ona_model_532_corrected_H_0001_3ona,18
relaxed_3ona_model_533_corrected_H_0001_3ona,28
relaxed_3ona_model_534_corrected_H_0001_3ona,18
relaxed_3ona_model_535_corrected_H_0001_3ona,18
